Địa điểm quan trắc;Triều;Ký hiệu;Tên viết tắt;Địa chỉ (tiếng Việt);Tên nơi lấy mẫu;Tên vị trí;Tên vị trí mẫu lặp;Tên vị trí mẫu trắng hiện trường;Tên vị trí mẫu trắng vận chuyển;Tên vị trí mẫu trắng thiết bị
Cầu số 1;Triều Lên;HCM_NM_CS1;HCM_NM_CS1_L;Khu vực Cầu số 1, đầu tuyến kênh Nhiêu Lộc – Thị Nghè;Cầu số 1 - HCM_NM_CS1 - Triều Lên;Cầu số 1 - Triều Lên;Cầu số 1 - Triều Lên (QC - Mẫu lặp hiện trường);Cầu số 1 - Triều Lên (QC - Mẫu trắng hiện trường);Cầu số 1 - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu số 1 - Triều Lên (QC - Mẫu trắng thiết bị)
Lê Văn Sỹ;Triều Lên;HCM_NM_LVS;HCM_NM_LVS_L;Khu vực cầu Lê Văn Sỹ, nối đường Lê Văn Sỹ và đường Trần Quốc Thảo;Lê Văn Sỹ - HCM_NM_LVS - Triều Lên;Lê Văn Sỹ - Triều Lên;Lê Văn Sỹ - Triều Lên (QC - Mẫu lặp hiện trường);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng hiện trường);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng vận chuyển);Lê Văn Sỹ - Triều Lên (QC - Mẫu trắng thiết bị)
Hải Đức;Triều Lên;HCM_NM_HĐ;HCM_NM_HĐ_L;Đoạn kênh khu vực gần Chùa Hải Đức, phường Cầu Kiệu;Hải Đức - HCM_NM_HĐ - Triều Lên;Hải Đức - Triều Lên;Hải Đức - Triều Lên (QC - Mẫu lặp hiện trường);Hải Đức - Triều Lên (QC - Mẫu trắng hiện trường);Hải Đức - Triều Lên (QC - Mẫu trắng vận chuyển);Hải Đức - Triều Lên (QC - Mẫu trắng thiết bị)
Điện Biên Phủ;Triều Lên;HCM_NM_ĐBP;HCM_NM_ĐBP_L;Khu vực cầu Điện Biên Phủ, gần Vòng xoay Điện Biên Phủ;Điện Biên Phủ - HCM_NM_ĐBP - Triều Lên;Điện Biên Phủ - Triều Lên;Điện Biên Phủ - Triều Lên (QC - Mẫu lặp hiện trường);Điện Biên Phủ - Triều Lên (QC - Mẫu trắng hiện trường);Điện Biên Phủ - Triều Lên (QC - Mẫu trắng vận chuyển);Điện Biên Phủ - Triều Lên (QC - Mẫu trắng thiết bị)
Bùi Đình Túy;Triều Lên;HCM_NM_BĐT;HCM_NM_BĐT_L;Khu vực gần công viên đường số 4, giáp bờ sông, gần đường Chu Văn An, phường Bình Thạnh;Bùi Đình Túy - HCM_NM_BĐT - Triều Lên;Bùi Đình Túy - Triều Lên;Bùi Đình Túy - Triều Lên (QC - Mẫu lặp hiện trường);Bùi Đình Túy - Triều Lên (QC - Mẫu trắng hiện trường);Bùi Đình Túy - Triều Lên (QC - Mẫu trắng vận chuyển);Bùi Đình Túy - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Đỏ;Triều Lên;HCM_NM_CĐ;HCM_NM_CĐ_L;Khu vực Cầu Đỏ trên đường Nguyễn Xí, đoạn qua rạch Cầu Sơn;Cầu Đỏ - HCM_NM_CĐ - Triều Lên;Cầu Đỏ - Triều Lên;Cầu Đỏ - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Đỏ - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Đỏ - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Đỏ - Triều Lên (QC - Mẫu trắng thiết bị)
Thị Nghè 2;Triều Lên;HCM_NM_TN2;HCM_NM_TN2_L;Khu vực cầu Thị Nghè 2 trên đường Nguyễn Hữu Cảnh, gần Thảo Cầm Viên;Thị Nghè 2 - HCM_NM_TN2 - Triều Lên;Thị Nghè 2 - Triều Lên;Thị Nghè 2 - Triều Lên (QC - Mẫu lặp hiện trường);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng hiện trường);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng vận chuyển);Thị Nghè 2 - Triều Lên (QC - Mẫu trắng thiết bị)
Bùi Hữu Nghĩa;Triều Lên;HCM_NM_BHN;HCM_NM_BHN_L;Khu vực cầu Bùi Hữu Nghĩa, đoạn rạch Cầu Bông đổ ra kênh Nhiêu Lộc – Thị Nghè;Bùi Hữu Nghĩa - HCM_NM_BHN - Triều Lên;Bùi Hữu Nghĩa - Triều Lên;Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu lặp hiện trường);Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu trắng hiện trường);Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu trắng vận chuyển);Bùi Hữu Nghĩa - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Văn Thánh;Triều Lên;HCM_NM_RVT;HCM_NM_RVT_L;Khu vực cầu Văn Thánh trên đường Điện Biên Phủ;Cầu Văn Thánh - HCM_NM_RVT - Triều Lên;Cầu Văn Thánh - Triều Lên;Cầu Văn Thánh - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Văn Thánh - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Văn Thánh - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Văn Thánh - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Văn Thánh 2;Triều Lên;HCM_NM_RVT2;HCM_NM_RVT2_L;Khu vực cầu Văn Thánh 2 trên đường Nguyễn Hữu Cảnh, đoạn qua rạch Văn Thánh;Cầu Văn Thánh 2 - HCM_NM_RVT2 - Triều Lên;Cầu Văn Thánh 2 - Triều Lên;Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Văn Thánh 2 - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu số 1;Triều Xuống;HCM_NM_CS1;HCM_NM_CS1_X;Khu vực Cầu số 1, đầu tuyến kênh Nhiêu Lộc – Thị Nghè;Cầu số 1 - HCM_NM_CS1 - Triều Xuống;Cầu số 1 - Triều Xuống;Cầu số 1 - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu số 1 - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu số 1 - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu số 1 - Triều Xuống (QC - Mẫu trắng thiết bị)
Lê Văn Sỹ;Triều Xuống;HCM_NM_LVS;HCM_NM_LVS_X;Khu vực cầu Lê Văn Sỹ, nối đường Lê Văn Sỹ và đường Trần Quốc Thảo;Lê Văn Sỹ - HCM_NM_LVS - Triều Xuống;Lê Văn Sỹ - Triều Xuống;Lê Văn Sỹ - Triều Xuống (QC - Mẫu lặp hiện trường);Lê Văn Sỹ - Triều Xuống (QC - Mẫu trắng hiện trường);Lê Văn Sỹ - Triều Xuống (QC - Mẫu trắng vận chuyển);Lê Văn Sỹ - Triều Xuống (QC - Mẫu trắng thiết bị)
Hải Đức;Triều Xuống;HCM_NM_HĐ;HCM_NM_HĐ_X;Đoạn kênh khu vực gần Chùa Hải Đức, phường Cầu Kiệu;Hải Đức - HCM_NM_HĐ - Triều Xuống;Hải Đức - Triều Xuống;Hải Đức - Triều Xuống (QC - Mẫu lặp hiện trường);Hải Đức - Triều Xuống (QC - Mẫu trắng hiện trường);Hải Đức - Triều Xuống (QC - Mẫu trắng vận chuyển);Hải Đức - Triều Xuống (QC - Mẫu trắng thiết bị)
Điện Biên Phủ;Triều Xuống;HCM_NM_ĐBP;HCM_NM_ĐBP_X;Khu vực cầu Điện Biên Phủ, gần Vòng xoay Điện Biên Phủ;Điện Biên Phủ - HCM_NM_ĐBP - Triều Xuống;Điện Biên Phủ - Triều Xuống;Điện Biên Phủ - Triều Xuống (QC - Mẫu lặp hiện trường);Điện Biên Phủ - Triều Xuống (QC - Mẫu trắng hiện trường);Điện Biên Phủ - Triều Xuống (QC - Mẫu trắng vận chuyển);Điện Biên Phủ - Triều Xuống (QC - Mẫu trắng thiết bị)
Bùi Đình Túy;Triều Xuống;HCM_NM_BĐT;HCM_NM_BĐT_X;Khu vực gần công viên đường số 4, giáp bờ sông, gần đường Chu Văn An, phường Bình Thạnh;Bùi Đình Túy - HCM_NM_BĐT - Triều Xuống;Bùi Đình Túy - Triều Xuống;Bùi Đình Túy - Triều Xuống (QC - Mẫu lặp hiện trường);Bùi Đình Túy - Triều Xuống (QC - Mẫu trắng hiện trường);Bùi Đình Túy - Triều Xuống (QC - Mẫu trắng vận chuyển);Bùi Đình Túy - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Đỏ;Triều Xuống;HCM_NM_CĐ;HCM_NM_CĐ_X;Khu vực Cầu Đỏ trên đường Nguyễn Xí, đoạn qua rạch Cầu Sơn;Cầu Đỏ - HCM_NM_CĐ - Triều Xuống;Cầu Đỏ - Triều Xuống;Cầu Đỏ - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Đỏ - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Đỏ - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Đỏ - Triều Xuống (QC - Mẫu trắng thiết bị)
Thị Nghè 2;Triều Xuống;HCM_NM_TN2;HCM_NM_TN2_X;Khu vực cầu Thị Nghè 2 trên đường Nguyễn Hữu Cảnh, gần Thảo Cầm Viên;Thị Nghè 2 - HCM_NM_TN2 - Triều Xuống;Thị Nghè 2 - Triều Xuống;Thị Nghè 2 - Triều Xuống (QC - Mẫu lặp hiện trường);Thị Nghè 2 - Triều Xuống (QC - Mẫu trắng hiện trường);Thị Nghè 2 - Triều Xuống (QC - Mẫu trắng vận chuyển);Thị Nghè 2 - Triều Xuống (QC - Mẫu trắng thiết bị)
Bùi Hữu Nghĩa;Triều Xuống;HCM_NM_BHN;HCM_NM_BHN_X;Khu vực cầu Bùi Hữu Nghĩa, đoạn rạch Cầu Bông đổ ra kênh Nhiêu Lộc – Thị Nghè;Bùi Hữu Nghĩa - HCM_NM_BHN - Triều Xuống;Bùi Hữu Nghĩa - Triều Xuống;Bùi Hữu Nghĩa - Triều Xuống (QC - Mẫu lặp hiện trường);Bùi Hữu Nghĩa - Triều Xuống (QC - Mẫu trắng hiện trường);Bùi Hữu Nghĩa - Triều Xuống (QC - Mẫu trắng vận chuyển);Bùi Hữu Nghĩa - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Văn Thánh;Triều Xuống;HCM_NM_RVT;HCM_NM_RVT_X;Khu vực cầu Văn Thánh trên đường Điện Biên Phủ;Cầu Văn Thánh - HCM_NM_RVT - Triều Xuống;Cầu Văn Thánh - Triều Xuống;Cầu Văn Thánh - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Văn Thánh - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Văn Thánh - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Văn Thánh - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Văn Thánh 2;Triều Xuống;HCM_NM_RVT2;HCM_NM_RVT2_X;Khu vực cầu Văn Thánh 2 trên đường Nguyễn Hữu Cảnh, đoạn qua rạch Văn Thánh;Cầu Văn Thánh 2 - HCM_NM_RVT2 - Triều Xuống;Cầu Văn Thánh 2 - Triều Xuống;Cầu Văn Thánh 2 - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Văn Thánh 2 - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Văn Thánh 2 - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Văn Thánh 2 - Triều Xuống (QC - Mẫu trắng thiết bị)
TBNM15;1;HCM_NM_TBNM15;HCM_NM_TBNM15_01;Kênh 18 – Cách nhà máy Vietstar 300m về hướng ngược dòng chảy.;TBNM15 - HCM_NM_TBNM15 - 01;TBNM15 - 01;TBNM15 - 01 (QC - Mẫu lặp hiện trường);TBNM15 - 01 (QC - Mẫu trắng hiện trường);TBNM15 - 01 (QC - Mẫu trắng vận chuyển);TBNM15 - 01 (QC - Mẫu trắng thiết bị)
TBNM5;1;HCM_NM_TBNM5;HCM_NM_TBNM5_01;Kênh Thầy Cai – cách kênh 18 khoảng 500 m, hướng về phía thượng nguồn.;TBNM5 - HCM_NM_TBNM5 - 01;TBNM5 - 01;TBNM5 - 01 (QC - Mẫu lặp hiện trường);TBNM5 - 01 (QC - Mẫu trắng hiện trường);TBNM5 - 01 (QC - Mẫu trắng vận chuyển);TBNM5 - 01 (QC - Mẫu trắng thiết bị)
Cầu Tân Thái;Triều Lên;HCM_NM_CTT;HCM_NM_CTT_L;Cầu Tân Thái, TL 822, ranh giới giữa Phường Thái Mỹ và tỉnh Tây Ninh;Cầu Tân Thái - HCM_NM_CTT - Triều Lên;Cầu Tân Thái - Triều Lên;Cầu Tân Thái - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Tân Thái - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Tân Thái - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Tân Thái - Triều Lên (QC - Mẫu trắng thiết bị)
TBNM14;1;HCM_NM_TBNM14;HCM_NM_TBNM14_01;Kênh 17 – Đầu kênh;TBNM14 - HCM_NM_TBNM14 - 01;TBNM14 - 01;TBNM14 - 01 (QC - Mẫu lặp hiện trường);TBNM14 - 01 (QC - Mẫu trắng hiện trường);TBNM14 - 01 (QC - Mẫu trắng vận chuyển);TBNM14 - 01 (QC - Mẫu trắng thiết bị)
TBNM9;1;HCM_NM_TBNM9;HCM_NM_TBNM9_01;Kênh 15 – Thượng nguồn - Cách bãi số 3 khoảng 500 m ngược hướng dòng chảy;TBNM9 - HCM_NM_TBNM9 - 01;TBNM9 - 01;TBNM9 - 01 (QC - Mẫu lặp hiện trường);TBNM9 - 01 (QC - Mẫu trắng hiện trường);TBNM9 - 01 (QC - Mẫu trắng vận chuyển);TBNM9 - 01 (QC - Mẫu trắng thiết bị)
TBNM11;1;HCM_NM_TBNM11;HCM_NM_TBNM11_01;Kênh 16 – giáp bãi chôn lấp số 3 (đầu kênh);TBNM11 - HCM_NM_TBNM11 - 01;TBNM11 - 01;TBNM11 - 01 (QC - Mẫu lặp hiện trường);TBNM11 - 01 (QC - Mẫu trắng hiện trường);TBNM11 - 01 (QC - Mẫu trắng vận chuyển);TBNM11 - 01 (QC - Mẫu trắng thiết bị)
TBNM1;1;HCM_NM_TBNM1;HCM_NM_TBNM1_01;Kênh Thầy Cai – cách ngã 3 kênh 15 và kênh Thầy Cai khoảng 500 m về hướng dân cư.;TBNM1 - HCM_NM_TBNM1 - 01;TBNM1 - 01;TBNM1 - 01 (QC - Mẫu lặp hiện trường);TBNM1 - 01 (QC - Mẫu trắng hiện trường);TBNM1 - 01 (QC - Mẫu trắng vận chuyển);TBNM1 - 01 (QC - Mẫu trắng thiết bị)
Thầy Cai;Triều Lên;HCM_NM_TCa;HCM_NM_TCa_L;Tại khu vực cầu Thầy Cai.;Thầy Cai - HCM_NM_TCa - Triều Lên;Thầy Cai - Triều Lên;Thầy Cai - Triều Lên (QC - Mẫu lặp hiện trường);Thầy Cai - Triều Lên (QC - Mẫu trắng hiện trường);Thầy Cai - Triều Lên (QC - Mẫu trắng vận chuyển);Thầy Cai - Triều Lên (QC - Mẫu trắng thiết bị)
TBNM15;2;HCM_NM_TBNM15;HCM_NM_TBNM15_02;Kênh 18 – Cách nhà máy Vietstar 300m về hướng ngược dòng chảy.;TBNM15 - HCM_NM_TBNM15 - 02;TBNM15 - 02;TBNM15 - 02 (QC - Mẫu lặp hiện trường);TBNM15 - 02 (QC - Mẫu trắng hiện trường);TBNM15 - 02 (QC - Mẫu trắng vận chuyển);TBNM15 - 02 (QC - Mẫu trắng thiết bị)
TBNM5;2;HCM_NM_TBNM5;HCM_NM_TBNM5_02;Kênh Thầy Cai – cách kênh 18 khoảng 500 m, hướng về phía thượng nguồn.;TBNM5 - HCM_NM_TBNM5 - 02;TBNM5 - 02;TBNM5 - 02 (QC - Mẫu lặp hiện trường);TBNM5 - 02 (QC - Mẫu trắng hiện trường);TBNM5 - 02 (QC - Mẫu trắng vận chuyển);TBNM5 - 02 (QC - Mẫu trắng thiết bị)
Cầu Tân Thái;Triều Xuống;HCM_NM_CTT;HCM_NM_CTT_X;Cầu Tân Thái, TL 822, ranh giới giữa Phường Thái Mỹ và tỉnh Tây Ninh;Cầu Tân Thái - HCM_NM_CTT - Triều Xuống;Cầu Tân Thái - Triều Xuống;Cầu Tân Thái - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Tân Thái - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Tân Thái - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Tân Thái - Triều Xuống (QC - Mẫu trắng thiết bị)
TBNM14;2;HCM_NM_TBNM14;HCM_NM_TBNM14_02;Kênh 17 – Đầu kênh;TBNM14 - HCM_NM_TBNM14 - 02;TBNM14 - 02;TBNM14 - 02 (QC - Mẫu lặp hiện trường);TBNM14 - 02 (QC - Mẫu trắng hiện trường);TBNM14 - 02 (QC - Mẫu trắng vận chuyển);TBNM14 - 02 (QC - Mẫu trắng thiết bị)
TBNM9;2;HCM_NM_TBNM9;HCM_NM_TBNM9_02;Kênh 15 – Thượng nguồn - Cách bãi số 3 khoảng 500 m ngược hướng dòng chảy;TBNM9 - HCM_NM_TBNM9 - 02;TBNM9 - 02;TBNM9 - 02 (QC - Mẫu lặp hiện trường);TBNM9 - 02 (QC - Mẫu trắng hiện trường);TBNM9 - 02 (QC - Mẫu trắng vận chuyển);TBNM9 - 02 (QC - Mẫu trắng thiết bị)
TBNM11;2;HCM_NM_TBNM11;HCM_NM_TBNM11_02;Kênh 16 – giáp bãi chôn lấp số 3 (đầu kênh);TBNM11 - HCM_NM_TBNM11 - 02;TBNM11 - 02;TBNM11 - 02 (QC - Mẫu lặp hiện trường);TBNM11 - 02 (QC - Mẫu trắng hiện trường);TBNM11 - 02 (QC - Mẫu trắng vận chuyển);TBNM11 - 02 (QC - Mẫu trắng thiết bị)
TBNM1;2;HCM_NM_TBNM1;HCM_NM_TBNM1_02;Kênh Thầy Cai – cách ngã 3 kênh 15 và kênh Thầy Cai khoảng 500 m về hướng dân cư.;TBNM1 - HCM_NM_TBNM1 - 02;TBNM1 - 02;TBNM1 - 02 (QC - Mẫu lặp hiện trường);TBNM1 - 02 (QC - Mẫu trắng hiện trường);TBNM1 - 02 (QC - Mẫu trắng vận chuyển);TBNM1 - 02 (QC - Mẫu trắng thiết bị)
Thầy Cai;Triều Xuống;HCM_NM_TCa;HCM_NM_TCa_X;Tại khu vực cầu Thầy Cai.;Thầy Cai - HCM_NM_TCa - Triều Xuống;Thầy Cai - Triều Xuống;Thầy Cai - Triều Xuống (QC - Mẫu lặp hiện trường);Thầy Cai - Triều Xuống (QC - Mẫu trắng hiện trường);Thầy Cai - Triều Xuống (QC - Mẫu trắng vận chuyển);Thầy Cai - Triều Xuống (QC - Mẫu trắng thiết bị)
Kênh N46;Triều Lên;HCM_NM_N46;HCM_NM_N46_L;Hồ chứa nước kênh Đông, xã Củ Chi;Kênh N46 - HCM_NM_N46 - Triều Lên;Kênh N46 - Triều Lên;Kênh N46 - Triều Lên (QC - Mẫu lặp hiện trường);Kênh N46 - Triều Lên (QC - Mẫu trắng hiện trường);Kênh N46 - Triều Lên (QC - Mẫu trắng vận chuyển);Kênh N46 - Triều Lên (QC - Mẫu trắng thiết bị)
Tân Phú Trung;Triều Lên;HCM_NM_TPT;HCM_NM_TPT_L;Dọc đường Tam Tân cách ngã giao kênh Thầy Cai và kênh An Hạ 1km về phía Tây;Tân Phú Trung - HCM_NM_TPT - Triều Lên;Tân Phú Trung - Triều Lên;Tân Phú Trung - Triều Lên (QC - Mẫu lặp hiện trường);Tân Phú Trung - Triều Lên (QC - Mẫu trắng hiện trường);Tân Phú Trung - Triều Lên (QC - Mẫu trắng vận chuyển);Tân Phú Trung - Triều Lên (QC - Mẫu trắng thiết bị)
TC18A;Triều Lên;HCM_NM_TC18A;HCM_NM_TC18A_L;Trước cổng công ty Fujifilm;TC18A - HCM_NM_TC18A - Triều Lên;TC18A - Triều Lên;TC18A - Triều Lên (QC - Mẫu lặp hiện trường);TC18A - Triều Lên (QC - Mẫu trắng hiện trường);TC18A - Triều Lên (QC - Mẫu trắng vận chuyển);TC18A - Triều Lên (QC - Mẫu trắng thiết bị)
An Hạ 1;Triều Lên;HCM_NM_AH1;HCM_NM_AH1_L;Cầu An Hạ, QL 22;An Hạ 1 - HCM_NM_AH1 - Triều Lên;An Hạ 1 - Triều Lên;An Hạ 1 - Triều Lên (QC - Mẫu lặp hiện trường);An Hạ 1 - Triều Lên (QC - Mẫu trắng hiện trường);An Hạ 1 - Triều Lên (QC - Mẫu trắng vận chuyển);An Hạ 1 - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu TL9;Triều Lên;HCM_NM_CTL9;HCM_NM_CTL9_L;Tại khu vực cầu TL9;Cầu TL9 - HCM_NM_CTL9 - Triều Lên;Cầu TL9 - Triều Lên;Cầu TL9 - Triều Lên (QC - Mẫu lặp hiện trường);Cầu TL9 - Triều Lên (QC - Mẫu trắng hiện trường);Cầu TL9 - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu TL9 - Triều Lên (QC - Mẫu trắng thiết bị)
Xuân Thới Sơn;Triều Lên;HCM_NM_XTS;HCM_NM_XTS_L;Dọc đường Thanh Niên đối diện với cơ sở xã hội Nhị Xuân;Xuân Thới Sơn - HCM_NM_XTS - Triều Lên;Xuân Thới Sơn - Triều Lên;Xuân Thới Sơn - Triều Lên (QC - Mẫu lặp hiện trường);Xuân Thới Sơn - Triều Lên (QC - Mẫu trắng hiện trường);Xuân Thới Sơn - Triều Lên (QC - Mẫu trắng vận chuyển);Xuân Thới Sơn - Triều Lên (QC - Mẫu trắng thiết bị)
Cầu Lớn;Triều Lên;HCM_NM_CLo;HCM_NM_CLo_L;Tại khu vực cầu Lớn;Cầu Lớn - HCM_NM_CLo - Triều Lên;Cầu Lớn - Triều Lên;Cầu Lớn - Triều Lên (QC - Mẫu lặp hiện trường);Cầu Lớn - Triều Lên (QC - Mẫu trắng hiện trường);Cầu Lớn - Triều Lên (QC - Mẫu trắng vận chuyển);Cầu Lớn - Triều Lên (QC - Mẫu trắng thiết bị)
An Hạ;Triều Lên;HCM_NM_AH;HCM_NM_AH_L;Cầu Xáng, đường Trần Văn Giàu, Xã Tân Vĩnh Lộc;An Hạ - HCM_NM_AH - Triều Lên;An Hạ - Triều Lên;An Hạ - Triều Lên (QC - Mẫu lặp hiện trường);An Hạ - Triều Lên (QC - Mẫu trắng hiện trường);An Hạ - Triều Lên (QC - Mẫu trắng vận chuyển);An Hạ - Triều Lên (QC - Mẫu trắng thiết bị)
Rau Răm;Triều Lên;HCM_NM_RR;HCM_NM_RR_L;Tại khu vực cầu Rau Răm;Rau Răm - HCM_NM_RR - Triều Lên;Rau Răm - Triều Lên;Rau Răm - Triều Lên (QC - Mẫu lặp hiện trường);Rau Răm - Triều Lên (QC - Mẫu trắng hiện trường);Rau Răm - Triều Lên (QC - Mẫu trắng vận chuyển);Rau Răm - Triều Lên (QC - Mẫu trắng thiết bị)
Kênh N46;Triều Xuống;HCM_NM_N46;HCM_NM_N46_X;Hồ chứa nước kênh Đông, xã Củ Chi;Kênh N46 - HCM_NM_N46 - Triều Xuống;Kênh N46 - Triều Xuống;Kênh N46 - Triều Xuống (QC - Mẫu lặp hiện trường);Kênh N46 - Triều Xuống (QC - Mẫu trắng hiện trường);Kênh N46 - Triều Xuống (QC - Mẫu trắng vận chuyển);Kênh N46 - Triều Xuống (QC - Mẫu trắng thiết bị)
Tân Phú Trung;Triều Xuống;HCM_NM_TPT;HCM_NM_TPT_X;Dọc đường Tam Tân cách ngã giao kênh Thầy Cai và kênh An Hạ 1km về phía Tây;Tân Phú Trung - HCM_NM_TPT - Triều Xuống;Tân Phú Trung - Triều Xuống;Tân Phú Trung - Triều Xuống (QC - Mẫu lặp hiện trường);Tân Phú Trung - Triều Xuống (QC - Mẫu trắng hiện trường);Tân Phú Trung - Triều Xuống (QC - Mẫu trắng vận chuyển);Tân Phú Trung - Triều Xuống (QC - Mẫu trắng thiết bị)
TC18A;Triều Xuống;HCM_NM_TC18A;HCM_NM_TC18A_X;Trước cổng công ty Fujifilm;TC18A - HCM_NM_TC18A - Triều Xuống;TC18A - Triều Xuống;TC18A - Triều Xuống (QC - Mẫu lặp hiện trường);TC18A - Triều Xuống (QC - Mẫu trắng hiện trường);TC18A - Triều Xuống (QC - Mẫu trắng vận chuyển);TC18A - Triều Xuống (QC - Mẫu trắng thiết bị)
An Hạ 1;Triều Xuống;HCM_NM_AH1;HCM_NM_AH1_X;Cầu An Hạ, QL 22;An Hạ 1 - HCM_NM_AH1 - Triều Xuống;An Hạ 1 - Triều Xuống;An Hạ 1 - Triều Xuống (QC - Mẫu lặp hiện trường);An Hạ 1 - Triều Xuống (QC - Mẫu trắng hiện trường);An Hạ 1 - Triều Xuống (QC - Mẫu trắng vận chuyển);An Hạ 1 - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu TL9;Triều Xuống;HCM_NM_CTL9;HCM_NM_CTL9_X;Tại khu vực cầu TL9;Cầu TL9 - HCM_NM_CTL9 - Triều Xuống;Cầu TL9 - Triều Xuống;Cầu TL9 - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu TL9 - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu TL9 - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu TL9 - Triều Xuống (QC - Mẫu trắng thiết bị)
Xuân Thới Sơn;Triều Xuống;HCM_NM_XTS;HCM_NM_XTS_X;Dọc đường Thanh Niên đối diện với cơ sở xã hội Nhị Xuân;Xuân Thới Sơn - HCM_NM_XTS - Triều Xuống;Xuân Thới Sơn - Triều Xuống;Xuân Thới Sơn - Triều Xuống (QC - Mẫu lặp hiện trường);Xuân Thới Sơn - Triều Xuống (QC - Mẫu trắng hiện trường);Xuân Thới Sơn - Triều Xuống (QC - Mẫu trắng vận chuyển);Xuân Thới Sơn - Triều Xuống (QC - Mẫu trắng thiết bị)
Cầu Lớn;Triều Xuống;HCM_NM_CLo;HCM_NM_CLo_X;Tại khu vực cầu Lớn;Cầu Lớn - HCM_NM_CLo - Triều Xuống;Cầu Lớn - Triều Xuống;Cầu Lớn - Triều Xuống (QC - Mẫu lặp hiện trường);Cầu Lớn - Triều Xuống (QC - Mẫu trắng hiện trường);Cầu Lớn - Triều Xuống (QC - Mẫu trắng vận chuyển);Cầu Lớn - Triều Xuống (QC - Mẫu trắng thiết bị)
An Hạ;Triều Xuống;HCM_NM_AH;HCM_NM_AH_X;Cầu Xáng, đường Trần Văn Giàu, Xã Tân Vĩnh Lộc;An Hạ - HCM_NM_AH - Triều Xuống;An Hạ - Triều Xuống;An Hạ - Triều Xuống (QC - Mẫu lặp hiện trường);An Hạ - Triều Xuống (QC - Mẫu trắng hiện trường);An Hạ - Triều Xuống (QC - Mẫu trắng vận chuyển);An Hạ - Triều Xuống (QC - Mẫu trắng thiết bị)
Rau Răm;Triều Xuống;HCM_NM_RR;HCM_NM_RR_X;Tại khu vực cầu Rau Răm;Rau Răm - HCM_NM_RR - Triều Xuống;Rau Răm - Triều Xuống;Rau Răm - Triều Xuống (QC - Mẫu lặp hiện trường);Rau Răm - Triều Xuống (QC - Mẫu trắng hiện trường);Rau Răm - Triều Xuống (QC - Mẫu trắng vận chuyển);Rau Răm - Triều Xuống (QC - Mẫu trắng thiết bị)
