Nơi thực hiện,Vị trí quan trắc,Số lượng mẫu,Số lượng mẫu QC,Ngày
Bến Cát,Triều Lên,1,,14
Trường Đai,Triều Lên,1,,14
Cống Vàm Thuật,Triều Xuống,1,1,14
An Lộc,Triều Xuống,1,,14
Bến Cát,Triều Xuống,1,,14
Trường Đai,Triều Xuống,1,,14
Chợ Cầu,Triều Lên,1,1,15
Tham Lương,Triều Lên,1,,15
Cầu Bưng,Triều Lên,1,,15
CN1,Triều Lên,1,1,15
Chợ Cầu,Triều Xuống,1,,15
Tham Lương,Triều Xuống,1,,15
Cầu Bưng,Triều Xuống,1,,15
CN1,Triều Xuống,1,,15
GCNM2,Triều Lên,1,,19
GCNM3,Triều Lên,1,,19
Cầu Bình Thuận,Triều Lên,1,,19
Nước Đen,Triều Lên,1,,19
Cầu Sông Chùa,Triều Lên,1,,19
GCNM2,Triều Xuống,1,,19
GCNM3,Triều Xuống,1,,19
Cầu Bình Thuận,Triều Xuống,1,,19
Nước Đen,Triều Xuống,1,,19
Cầu Sông Chùa,Triều Xuống,1,,19
Cầu Bà Tri,Triều Lên,1,,20
Tân Tạo,Triều Lên,1,,20
Kênh C,Triều Lên,1,,20
Kênh C6,Triều Lên,1,,20
Kênh C8,Triều Lên,1,1,20
Cầu Bà Tri,Triều Xuống,1,,20
Tân Tạo,Triều Xuống,1,,20
Kênh C,Triều Xuống,1,,20
Kênh C6,Triều Xuống,1,,20
Kênh C8,Triều Xuống,1,,20
Cầu Rạch Ngang,Triều Lên,1,,21
Xóm Củi,Triều Lên,1,,21
Ông Lớn,Triều Lên,1,,21
Cần Giuộc,Triều Lên,1,,21
Cầu Rạch Ngang,Triều Xuống,1,1,21
Xóm Củi,Triều Xuống,1,,21
Ông Lớn,Triều Xuống,1,,21
Cần Giuộc,Triều Xuống,1,,21
ĐPNM1,Triều Lên,1,,22
ĐPNM4,Triều Lên,1,,22
ĐPNM5,Triều Lên,1,,22
ĐPNM8,Triều Lên,1,,22
ĐPNM1,Triều Xuống,1,,22
ĐPNM4,Triều Xuống,1,,22
ĐPNM5,Triều Xuống,1,,22
ĐPNM8,Triều Xuống,1,,22
Cầu Gò Công,Triều Lên,1,,26
Cầu Gò Công,Triều Xuống,1,,26
Hồ Ngọc Lãm,Triều Lên,1,,27
Bình Ðiền,Triều Lên,1,,27
Chợ Đệm,Triều Lên,1,,27
Hồ Ngọc Lãm,Triều Xuống,1,,27
Bình Ðiền,Triều Xuống,1,,27
Chợ Đệm,Triều Xuống,1,,27
TBNM15,Triều Lên,1,,28
TBNM5,Triều Lên,1,,28
TBNM14,Triều Lên,1,,28
TBNM9,Triều Lên,1,1,28
TBNM11,Triều Lên,1,,28
TBNM1,Triều Lên,1,,28
TBNM15,Triều Xuống,1,1,28
TBNM5,Triều Xuống,1,,28
TBNM14,Triều Xuống,1,,28
TBNM9,Triều Xuống,1,,28
TBNM11,Triều Xuống,1,,28
TBNM1,Triều Xuống,1,,28
